jd,filter,tag,mag,emag
2459784.49,sdssg,IOO,16.63,0.04
2459784.49,sdssr,IOO,16.3,0.05
2459784.49,sdssi,IOO,16.41,0.05
2459784.49,sdssz,IOO,16.47,0.05
2459786.41,sdssg,IOO,16.72,0.04
2459786.41,sdssr,IOO,16.32,0.05
2459786.41,sdssi,IOO,16.4,0.04
2459786.41,sdssz,IOO,16.46,0.07
2459786.67,sdssr,SEDM,16.32,0.01
2459786.7,sdssu,SEDM,18.23,0.18
2459786.7,sdssg,SEDM,16.84,0.03
2459786.7,sdssr,SEDM,16.27,0.02
2459786.7,sdssi,SEDM,16.22,0.03
2459787.16,uvot::uvw1,UVOT,20.92,0.13
2459787.16,uvot::u,UVOT,19.73,0.1
2459787.16,uvot::b,UVOT,18.87,0.06
2459787.16,uvot::v,UVOT,18.09,0.07
2459787.17,uvot::uvm2,UVOT,21.89,0.19
2459787.74,sdssr,SEDM,16.3,0.01
2459787.76,sdssu,SEDM,18.24,0.13
2459787.76,sdssg,SEDM,16.96,0.02
2459787.77,sdssr,SEDM,16.35,0.02
2459787.77,sdssi,SEDM,16.37,0.02
2459788.41,sdssg,IOO,16.85,0.04
2459788.41,sdssg,IOO,16.85,0.04
2459788.41,sdssg,IOO,16.85,0.04
2459788.41,sdssr,IOO,16.35,0.05
2459788.42,sdssi,IOO,16.43,0.05
2459788.42,sdssz,IOO,16.46,0.06
2459790.4,sdssi,IOO,16.5,0.05
2459795.45,sdssg,IOO,17.57,0.05
2459795.45,sdssr,IOO,16.84,0.04
2459795.46,sdssi,IOO,16.79,0.05
2459795.46,sdssz,IOO,16.67,0.07
2459798.66,sdssr,SEDM,17.06,0.02
2459798.69,sdssu,SEDM,20.32,0.31
2459798.69,sdssr,SEDM,17.05,0.02
2459799.39,sdssg,IOO,18.0,0.05
2459799.39,sdssr,IOO,17.19,0.05
2459799.39,sdssi,IOO,17.03,0.06
2459799.39,sdssz,IOO,16.88,0.06
2459801.69,sdssr,SEDM,17.26,0.02
2459801.71,sdssg,SEDM,18.38,0.03
2459801.71,sdssr,SEDM,17.34,0.02
2459801.71,sdssi,SEDM,17.21,0.02
2459803.38,sdssg,IOO,18.39,0.07
2459803.38,sdssr,IOO,17.51,0.06
2459803.38,sdssi,IOO,17.36,0.07
2459803.38,sdssz,IOO,17.08,0.08
2459803.43,sdssg,IOO,18.26,0.09
2459803.43,sdssr,IOO,17.54,0.07
2459803.43,sdssi,IOO,17.33,0.07
2459805.66,sdssr,SEDM,17.67,0.05
2459805.68,sdssg,SEDM,18.69,0.04
2459805.68,sdssr,SEDM,17.6,0.02
2459805.69,sdssi,SEDM,17.45,0.02
2459807.38,sdssg,IOO,18.61,0.05
2459807.38,sdssr,IOO,17.8,0.06
2459807.38,sdssi,IOO,17.6,0.05
2459807.38,sdssz,IOO,17.22,0.06
2459807.66,sdssr,SEDM,17.81,0.02
2459807.69,sdssg,SEDM,18.71,0.02
2459807.69,sdssr,SEDM,17.75,0.02
2459807.69,sdssi,SEDM,17.57,0.02
2459813.4,sdssg,IOO,18.98,0.08
2459813.4,sdssr,IOO,18.22,0.05
2459813.4,sdssi,IOO,17.91,0.06
2459813.4,sdssz,IOO,17.41,0.05
2459819.68,sdssr,SEDM,18.75,0.04
2459819.71,sdssg,SEDM,19.48,0.04
2459819.71,sdssr,SEDM,18.66,0.02
2459819.71,sdssi,SEDM,18.38,0.02
2459820.66,sdssr,SEDM,18.73,0.06
2459820.68,sdssg,SEDM,19.61,0.04
2459820.69,sdssr,SEDM,18.79,0.03
2459820.69,sdssi,SEDM,18.4,0.03
2459823.64,sdssr,SEDM,19.12,0.05
2459823.67,sdssg,SEDM,19.81,0.06
2459823.67,sdssr,SEDM,19.04,0.03
2459823.67,sdssi,SEDM,18.67,0.03
2459830.63,sdssg,SEDM,20.17,0.1
2459830.64,sdssr,SEDM,19.77,0.06
